name,contractNumber,type,status,startDate,endDate,revenuePercentage,description,operatorRevenue,isRevenueSharing,operatorId,providerId,humanitarianOrgId,parkingServiceId,createdAt,updatedAt,createdById,lastModifiedById
8545/1-2025,1033-8545/1-2025,HUMANITARIAN,ACTIVE,1/9/2025 0:00,12/31/2025 0:00,0,,0,TRUE,,,4df2c8f4-5b5c-4cd6-b9ad-e76cd66a835b,,9/26/2025 11:31,9/26/2025 11:31,cmchpjgab00jsvcfgraw113wv,
340653/1-2024,1150,HUMANITARIAN,ACTIVE,7/29/2024 0:00,8/1/2026 0:00,0,,0,TRUE,,,d4a7e0fa-1e88-45c7-9cee-a0edfd0025d4,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
221638/1-2022,1389,HUMANITARIAN,ACTIVE,5/28/2024 0:00,5/19/2026 0:00,0,,0,TRUE,,,f4e95486-7501-4483-906c-43ad6f809c80,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
142545/1-2025,1733,HUMANITARIAN,ACTIVE,3/28/2025 0:00,3/5/2026 0:00,0,,0,TRUE,,,c39b1959-7258-4935-b9e6-d81e8f4e70cf,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
255031/1-2020,1817,HUMANITARIAN,ACTIVE,8/24/2020 0:00,7/31/2025 0:00,0,,0,TRUE,,,81ad3b3d-aeac-4945-af29-04104f216655,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
221234/1-2023,2407,HUMANITARIAN,ACTIVE,5/22/2023 0:00,5/23/2025 0:00,0,,0,TRUE,,,b845e3b4-58c5-4692-92a1-b8cfd33545f5,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
8733/1-2025,2552,HUMANITARIAN,ACTIVE,1/9/2025 0:00,1/2/2026 0:00,0,,0,TRUE,,,ed94031d-a503-4d5a-b444-271d391a9c22,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
241876/1-2025,2844,HUMANITARIAN,ACTIVE,6/5/2023 0:00,5/16/2026 0:00,0,,0,TRUE,,,d8e90899-d1fc-474f-b015-c0ea00fd69a1,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
213753/1-2025,3008,HUMANITARIAN,ACTIVE,5/14/2025 0:00,10/22/2025 0:00,0,,0,TRUE,,,edc4d4ec-7e13-4f4a-9946-aa3005b3823a,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
275992/1-2024,3018,HUMANITARIAN,ACTIVE,6/18/2024 0:00,12/12/2025 0:00,0,,0,TRUE,,,96cba8a1-de6b-4189-af8b-0b9e6625d599,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
84891/1-2024,3023,HUMANITARIAN,ACTIVE,2/23/2024 0:00,8/31/2025 0:00,0,,0,TRUE,,,e022c747-211d-4db0-b063-e4708ad06eda,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
77713/1-2025,3027,HUMANITARIAN,ACTIVE,2/21/2025 0:00,8/19/2025 0:00,0,,0,TRUE,,,f674814a-1603-4cb3-a1e6-9a004ff196c7,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
449447/2023,3030,HUMANITARIAN,ACTIVE,10/18/2023 0:00,10/19/2025 0:00,0,,0,TRUE,,,7fa36d83-7a24-4ab4-ba11-0d76130786bb,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
429634/1-2024,3045,HUMANITARIAN,ACTIVE,9/27/2024 0:00,9/18/2025 0:00,0,,0,TRUE,,,e2186370-90ef-4b61-8af6-01405d07c2de,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
180532/1-2024,3051,HUMANITARIAN,ACTIVE,4/12/2024 0:00,10/23/2025 0:00,0,,0,TRUE,,,df0c7d4a-d603-4598-8e8f-78b1a6beac1c,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
127165/1-2025,3059,HUMANITARIAN,ACTIVE,3/20/2025 0:00,2/26/2025 0:00,0,,0,TRUE,,,85dd135d-9bd1-4d94-b7b5-112a38a27b85,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
564271/1-2024,3066,HUMANITARIAN,ACTIVE,12/10/2024 0:00,12/3/2025 0:00,0,,0,TRUE,,,9b614a7d-e306-469e-bdc0-7c1dbce7a833,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
471225/1-2024,3091,HUMANITARIAN,ACTIVE,10/23/2024 0:00,10/16/2025 0:00,0,,0,TRUE,,,91f7a68c-33c9-4819-9d00-16043d25b9b8,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
482819/1-2024,3132,HUMANITARIAN,ACTIVE,10/30/2024 0:00,10/30/2025 0:00,0,,0,TRUE,,,2150a861-bec9-4a70-bec6-40609dc5a2da,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
366507/1-2022,3800,HUMANITARIAN,ACTIVE,9/9/2022 0:00,7/20/2026 0:00,0,,0,TRUE,,,abfce187-f472-4130-8e3a-6d3b099d2b00,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
259013/1-2025,3855,HUMANITARIAN,ACTIVE,7/2/2025 0:00,11/27/2025 0:00,0,,0,TRUE,,,e89082f9-8a7e-4510-8e9e-783a261d1fa3,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
169164/1-2023,4030,HUMANITARIAN,ACTIVE,4/18/2023 0:00,4/8/2025 0:00,0,,0,TRUE,,,26c762f3-e59f-494d-9763-94ca9972bc3d,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
271700/1-2023,4334,HUMANITARIAN,ACTIVE,6/22/2023 0:00,12/14/2025 0:00,0,,0,TRUE,,,5377b00d-50aa-4ae7-a14e-c49f4b690ee6,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
139697/1-2024,5757,HUMANITARIAN,ACTIVE,3/26/2024 0:00,4/3/2026 0:00,0,,0,TRUE,,,bc435c56-92be-4360-bcc3-987dc1e38791,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
87410/1-2023,5800,HUMANITARIAN,ACTIVE,2/28/2023 0:00,8/13/2025 0:00,0,,0,TRUE,,,08e86bcc-1862-4ece-b516-8c1211cbb3bd,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
520954/1-2022,6333,HUMANITARIAN,ACTIVE,12/16/2022 0:00,5/22/2025 0:00,0,,0,TRUE,,,9e742525-0e29-4d39-9ad4-d32a77e4a5ea,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
235867/1,6880,HUMANITARIAN,ACTIVE,5/27/2024 0:00,6/1/2026 0:00,0,,0,TRUE,,,32cfa4fc-86db-4931-8025-23a5fb0404ce,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
268945/1,7175,HUMANITARIAN,ACTIVE,6/28/2021 0:00,6/29/2026 0:00,0,,0,TRUE,,,3b8e2bf3-3ea7-4add-b3d5-7454921c3e27,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
101597/1-2022,7323,HUMANITARIAN,ACTIVE,3/10/2022 0:00,8/3/2025 0:00,0,,0,TRUE,,,b14a6fa4-3301-417b-bc2c-f0890d741ecf,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
136388/2021,7763,HUMANITARIAN,ACTIVE,4/1/2021 0:00,3/5/2026 0:00,0,,0,TRUE,,,7e7d3d99-15d6-423b-862a-cb8321a99081,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
311479/1-2020,9656,HUMANITARIAN,ACTIVE,10/6/2020 0:00,3/15/2026 0:00,0,,0,TRUE,,,a6eb8377-13cf-427a-95fb-197ae88a32c2,,9/23/2025 12:58,9/24/2025 12:58,cmchpjgab00jsvcfgraw113wv,
