name,kratki_broj,tekuci_racun,bank,pib,maticni_broj,isActive,updatedAt,createdAt
Епархија рашко-призренска ,1033,205-243659-06,NLB,102140828,9341218,t,7/31/2025 21:10,7/31/2025 21:10
Национално удружење родитеља деце оболеле од рака-НУРДОР,1150,170-30010715000-82,UNICREDIT,103199731,17521705,t,7/31/2025 21:10,7/31/2025 21:10
Удружење „Српска Солидарност“,1389,340-11016097-24,Erste Bank A.Д. Нови Сад,109029692,28176317,t,7/31/2025 21:10,7/31/2025 21:10
"Хуманитарна организација Принцип""",1733,325-9500700198615-27,OTP BANKA A.D. BEOGRAD,109783298,28214910,t,7/31/2025 21:10,7/31/2025 21:10
Фондација ДЕЛИЈЕ,1817,105-3206-14, AIK BANKA A.D. BEOGRAD,108202229,28826834,t,7/31/2025 21:10,7/31/2025 21:10
Фондација – Хуманост без граница,2407,160-0000000467308-93,Banca Intesa ad Београд,109849156,28829949,t,7/31/2025 21:10,7/31/2025 21:10
Блиц Фондација,2552,325-9500500148315-93,OTP BANKA A.D. BEOGRAD,107873825,28826184,t,7/31/2025 21:10,7/31/2025 21:10
Верско добротворно старатељство Архиепископије београдско-карловачке СПЦ,2844,205-58219-31,Комерцијалнa банкa ад Београд,106712427,17690132,t,7/31/2025 21:10,7/31/2025 21:10
Добро памтим све,3008,000000000000000000000,,00000000,00000000,t,7/31/2025 21:10,7/31/2025 21:10
Епархија нишка „Добри Самарјанин“,3018,265-4050310001316-72,Raiffeisen банка ад Београд,103004650,17260944,t,7/31/2025 21:10,7/31/2025 21:10
Фондација „ХЕРОЈИ БЕОГРАДСКОГ МАРАТОНА“,3023,160-6000001739144-53,Banca Intesa ad Београд,113763628,28834276,t,7/31/2025 21:10,7/31/2025 21:10
Humanitarna fondacija ZA NAŠE HEROJE,3027,170-0030068069004-65,UNICREDIT,114526140,28835299,t,7/31/2025 21:10,7/31/2025 21:10
Фондација „ Буди хуман - Александар Шапић“,3030,160-449128-22,Banca Intesa ad Београд,109638134,28829639,t,7/31/2025 21:10,7/31/2025 21:10
Хуманитарно удружење Дечији осмех,3045,340-1000240012-17,Erste Bank A.Д. Нови Сад,111043305,28264151,t,7/31/2025 21:10,7/31/2025 21:10
Удружење ТЕЛОК,3051,160-6000001943637-02,Banca Intesa ad Београд,112413955,28320558,t,7/31/2025 21:10,7/31/2025 21:10
Svetionik,3059,155-0000000050292-66,Halkbank Akcionarsko društvo Beograd),106493654,28005687,t,7/31/2025 21:10,7/31/2025 21:10
ФОНДАЦИЈА  ПОМОЗИСРЦЕМ,3066,205-0000000536143-16,NLB,114265065,28834969,t,7/31/2025 21:10,7/31/2025 21:10
Фондација Једро,3091,160-6000002005224-26,Banca Intesa ad Београд,114257395,28834934,t,7/31/2025 21:10,7/31/2025 21:10
Чеп за хендикеп - Зрењанин,3132,340-11010903-86,Erste Bank A.Д. Нови Сад,108451539,28139560,t,7/31/2025 21:10,7/31/2025 21:10
Хуманитарна организација  „Покрени живот“,3800,160-6000000838286-13,Banca Intesa ad Београд,111654117,28287542,t,7/31/2025 21:10,7/31/2025 21:10
"Хуманитарна организација ""Заједно можемо - Марко Николић""",3855,265-4110310002275-96,Raiffeisen банка ад Београд,114399764,28835175,t,7/31/2025 21:10,7/31/2025 21:10
Хуманитарна организација Сви за Космет,4030,105-2861563-34,"Агроиндустријска банка, ад Београд",110698241,28254881,t,7/31/2025 21:10,7/31/2025 21:10
Фондација Заједно за младе ,4334,265-1610310004716-35,Raiffeisen банка ад Београд,111148942,28831129,t,7/31/2025 21:10,7/31/2025 21:10
Фондација „Подржи живот“,5757,205-999-98,Комерцијалнa банкa ад Београд,108443418,28827369,t,7/31/2025 21:10,7/31/2025 21:10
Фондација Тамара Мисирлић,5800,200-3453980101008-90,Поштанска Штедионица ад Београд,112887885,28833342,t,7/31/2025 21:10,7/31/2025 21:10
Удружење Подели радост,6333,325-9500700196409-49,OTP BANKA A.D. BEOGRAD,112255952,28312377,t,7/31/2025 21:10,7/31/2025 21:10
Фондација ТАТЕ НОВОСАЂАНИ,6880,340-0000011024555-64,Erste Bank A.Д. Нови Сад,111602115,28831617,t,7/31/2025 21:10,7/31/2025 21:10
"Udruženje ""UVEK SA DECOM""",7175,145-24049-93,Еxpobank aд Београд ,102211892,7752709,t,7/31/2025 21:10,7/31/2025 21:10
Фондација српских бораца,7323,200-3179610101754-92,Поштанска Штедионица ад Београд,111825611,28832001,t,7/31/2025 21:10,7/31/2025 21:10
Хуманитарна организација „Срби за Србе“,7763,160-279491-71,Banca Intesa ad Београд,105117328,17697013,t,7/31/2025 21:10,7/31/2025 21:10
УНИЦЕФ,9656,908-20501-70,деловодни број 43973-0070000000009 NLB,108566241,00000000,t,7/31/2025 21:10,7/31/2025 21:10
